Wall time,Step,Value
1742046590.4108958,3609800,-23458.2109375
1742046625.7302513,3659856,-22156.76953125
1742046662.1420383,3710672,-21957.970703125
1742046698.0998878,3761552,-21982.83984375
1742046734.681279,3811984,-23319.939453125
1742046770.3495338,3861432,-22276.470703125
1742046806.2283838,3911600,-20973.2890625
1742046842.096493,3962016,-23314.380859375
1742046877.778399,4012128,-22994.9296875
1742046913.2004523,4063520,-22225.76953125
1742046947.9325569,4113504,-22412.4296875
1742046983.3593957,4164000,-21932.990234375
1742047020.1831355,4214280,-22262.099609375
1742047055.9239368,4264664,-21830.400390625
1742047092.072743,4315648,-23381.01953125
1742047128.9192436,4366736,-22519.169921875
1742047166.3081172,4418016,-23795.08984375
1742047202.776785,4468608,-22898.66015625
1742047238.5858338,4518768,-22396.650390625
1742047273.7137105,4569536,-22359.580078125
1742047308.1421657,4619216,-24331.009765625
1742047343.8090577,4670496,-23798.140625
1742047379.44402,4721144,-23326.48046875
1742047415.9972382,4772520,-23268.640625
1742047451.7407293,4823264,-22138.310546875
1742047487.9714215,4873496,-22947.73046875
1742047523.6434495,4924560,-22833.529296875
1742047558.8973243,4974784,-23183.349609375
1742047595.0861845,5025816,-21937.419921875
1742047631.4536235,5076944,-22876.4609375
1742047668.2849474,5128256,-23001.259765625
1742047703.6356602,5179152,-22244.890625
1742047739.0011084,5229304,-22348.849609375
1742047775.4439828,5280200,-22354.08984375
1742047811.509841,5330720,-22196.19921875
1742047847.0264566,5381008,-22424.1796875
1742047883.061198,5431576,-22992.009765625
1742047918.7704968,5482840,-24492.609375
1742047954.0644233,5532816,-22532.080078125
1742047990.197237,5583864,-23344.23046875
1742048026.2566686,5635432,-21919.599609375
1742048062.6556847,5686456,-23005.1796875
1742048098.7706099,5737184,-23716.939453125
1742048135.1668735,5787784,-23016.0390625
1742048172.3034604,5839344,-21909.7109375
1742048209.6138394,5890728,-21462.6796875
1742048245.924383,5941408,-21364.58984375
1742048282.027455,5991992,-22270.439453125
1742048319.099701,6042824,-22495.91015625
1742048355.4003735,6092992,-22629.849609375
1742048391.5891716,6144024,-22568.240234375
1742048428.2773955,6195624,-21723.869140625
1742048464.0468335,6245904,-22182.369140625
1742048500.3283355,6297288,-22027.130859375
1742048536.2142239,6347536,-22130.98046875
1742048572.339564,6398520,-22730.16015625
