Wall time,Step,Value
1742063920.5739164,3096576,-25744.6796875
1742063957.527581,3145728,-24355.560546875
1742063995.0107353,3194880,-24495.51953125
1742064040.277822,3252224,-23604.349609375
1742064078.4091089,3301376,-24198.08984375
1742064115.0478864,3350528,-23615.8203125
1742064153.183845,3399680,-23319.140625
1742064190.119413,3448832,-23840.720703125
1742064235.445208,3506176,-25747.009765625
1742064273.1094215,3555328,-25020.73046875
1742064311.6346562,3604480,-23425.310546875
1742064348.9032547,3653632,-23336.150390625
1742064394.2031534,3710976,-24284.970703125
1742064432.0519822,3760128,-23366.369140625
1742064469.9396317,3809280,-22684.7890625
1742064506.744593,3858432,-24575.08984375
1742064551.585603,3915776,-23500.720703125
1742064589.573821,3964928,-22653.259765625
1742064627.277016,4014080,-23135.509765625
1742064664.6452882,4063232,-23875.890625
1742064701.7025304,4112384,-22322.140625
1742064746.1101215,4169728,-24902.880859375
1742064783.376443,4218880,-22735.859375
1742064821.3279412,4268032,-23464.400390625
1742064858.7502034,4317184,-23383.98046875
1742064896.4882424,4366336,-24319.41015625
1742064934.736638,4415488,-25190.66015625
1742064979.968697,4472832,-26760.310546875
1742065018.0739973,4521984,-23952.240234375
1742065056.594442,4571136,-22593.349609375
1742065094.9891238,4620288,-22665.330078125
1742065140.1196878,4677632,-24188.08984375
1742065178.3952847,4726784,-23415.2109375
1742065215.8444748,4775936,-23072.4296875
1742065253.2101686,4825088,-22799.099609375
1742065291.3687422,4874240,-25785.6796875
1742065336.6365175,4931584,-23285.009765625
1742065374.610449,4980736,-23942.830078125
1742065412.2022989,5029888,-22118.73046875
1742065449.9381325,5079040,-23384.150390625
1742065494.1273715,5136384,-23398.220703125
1742065532.1735742,5185536,-22571.58984375
1742065569.664913,5234688,-23069.310546875
1742065607.5494695,5283840,-23400.490234375
1742065645.3495874,5332992,-22876.30078125
1742065689.2338092,5390336,-23124.509765625
1742065727.2032113,5439488,-24555.599609375
1742065764.2129161,5488640,-25289.66015625
1742065802.6267526,5537792,-24229.08984375
1742065841.3844,5586944,-25049.2109375
1742065885.964219,5644288,-22792.7890625
1742065924.5352225,5693440,-23254.23046875
1742065962.9141538,5742592,-22626.060546875
1742066001.5797324,5791744,-22276.33984375
1742066046.2552488,5849088,-21883.390625
1742066084.0194983,5898240,-21677.919921875
1742066121.8332846,5947392,-23571.220703125
1742066159.7009518,5996544,-22742.990234375
1742066198.3291001,6045696,-22932.080078125
1742066243.0737045,6103040,-23951.939453125
1742066281.1945593,6152192,-24499.689453125
1742066318.867847,6201344,-22041.51953125
1742066356.266324,6250496,-20962.689453125
1742066393.5499346,6299648,-22877.380859375
1742066437.324856,6356992,-23723.189453125
1742066475.4135733,6406144,-24532.630859375
1742066513.7098925,6455296,-22639.0
1742066551.7835252,6504448,-24454.19921875
1742066595.3289201,6561792,-22084.189453125
1742066633.101895,6610944,-21949.3203125
1742066670.2176197,6660096,-21182.349609375
1742066707.897932,6709248,-23511.0390625
1742066746.1036024,6758400,-22411.890625
1742066789.7954202,6815744,-23263.609375
1742066827.5231843,6864896,-22119.599609375
1742066865.254946,6914048,-22355.0703125
1742066902.9962516,6963200,-22068.73046875
1742066946.2056122,7020544,-23753.419921875
1742066983.4273775,7069696,-22435.330078125
1742067020.9138017,7118848,-20482.94921875
1742067059.227427,7168000,-22309.720703125
1742067097.3050005,7217152,-21753.689453125
1742067140.95924,7274496,-20847.1796875
1742067179.2389286,7323648,-21961.380859375
1742067217.160135,7372800,-22067.439453125
1742067254.6818848,7421952,-21565.490234375
1742067298.4436812,7479296,-22712.880859375
1742067336.0038617,7528448,-21414.310546875
1742067374.0378585,7577600,-23216.80078125
1742067412.2311244,7626752,-23055.41015625
1742067450.5855484,7675904,-22351.80078125
1742067494.6487923,7733248,-22783.75
1742067532.299228,7782400,-23611.55078125
1742067569.9664786,7831552,-23647.4296875
1742067607.738565,7880704,-21448.73046875
1742067651.2583244,7938048,-22114.630859375
1742067688.2288585,7987200,-21758.30078125
1742067725.52536,8036352,-22225.4296875
1742067763.176612,8085504,-22384.689453125
1742067801.3635325,8134656,-21995.400390625
1742067845.4737241,8192000,-21497.01953125
1742067883.4987488,8241152,-23091.400390625
1742067921.5387015,8290304,-20760.119140625
1742067958.6160934,8339456,-21870.2890625
1742067996.3372774,8388608,-21575.859375
1742068034.775835,8437760,-21407.94921875
1742068079.460565,8495104,-21718.4296875
1742068117.7227461,8544256,-22097.6796875
1742068155.147532,8593408,-21315.130859375
1742068192.7072597,8642560,-21582.76953125
1742068230.442245,8691712,-22549.509765625
1742068274.092688,8749056,-23326.7109375
1742068311.568092,8798208,-20958.830078125
1742068349.335037,8847360,-21689.9609375
1742068386.86565,8896512,-21340.189453125
1742068424.743826,8945664,-21782.380859375
1742068462.0719242,8994816,-21318.6796875
1742068506.0275576,9052160,-20880.220703125
1742068543.8750088,9101312,-20702.630859375
1742068581.6227715,9150464,-21282.439453125
1742068619.517202,9199616,-21441.640625
1742068656.67289,9248768,-20668.189453125
1742068693.9141212,9297920,-21679.880859375
1742068737.20603,9355264,-20771.4609375
1742068775.253876,9404416,-21907.0390625
1742068813.2728703,9453568,-21141.19921875
1742068851.287069,9502720,-21318.580078125
1742068889.4381163,9551872,-20630.599609375
1742068933.6223748,9609216,-21260.609375
1742068971.5453823,9658368,-21884.400390625
1742069010.0823774,9707520,-22555.130859375
1742069047.6541903,9756672,-21262.3203125
1742069090.6134248,9814016,-21014.0703125
1742069127.3895168,9863168,-21500.73046875
1742069164.6757057,9912320,-21005.140625
1742069201.6084375,9961472,-22244.9609375
